1.0000000000	0.9553950303	0.1746437415	0.5743949339	0.4837781324	0.2589738828	0.6516226751	0.2343055257
1.0000000000	0.3112893945	0.0539408764	0.3423853114	0.5111790132	0.2228382407	0.5195147528	0.2560444260
1.0000000000	0.1641073746	0.2928115793	0.5819858550	0.0354527326	0.7549163273	0.5747752336	0.2378195240
1.0000000000	0.1348024374	0.2938073731	0.6134517419	0.5672178748	0.7697714444	0.9143177541	0.1361050527
1.0000000000	0.2472709320	0.2920337990	0.9403526373	0.0292817340	0.3675253300	0.1382805961	0.7562788038
1.0000000000	0.1588364248	0.4566626430	0.9710437676	0.1034590057	0.9149524765	0.4952392350	0.6432650737
1.0000000000	0.7659909870	0.9798777194	0.7855067132	0.1470395809	0.0432058531	0.4822699556	0.3565888188
1.0000000000	0.9663230295	0.8453307177	0.3505113299	0.7860935091	0.3628394429	0.5150740449	0.3120663965
1.0000000000	0.6079844704	0.4318211572	0.5494571032	0.8262042026	0.9353001281	0.5572985413	0.1317951118
1.0000000000	0.4726677723	0.6929430908	0.2717379134	0.3464002723	0.8092746146	0.0012723317	0.3135565477
1.0000000000	0.1242399251	0.7913269370	0.3300118404	0.7506427446	0.0438327633	0.3679003438	0.3793048051
1.0000000000	0.7609367869	0.4860700381	0.5952705122	0.6355608213	0.2108894740	0.5917529657	0.3561952447
1.0000000000	0.6959049716	0.9210980658	0.2296821058	0.8242994449	0.8137605833	0.7965145595	0.2337866330
1.0000000000	0.3753748047	0.6968050026	0.3634786638	0.6357343153	0.5763704889	0.3708323985	0.6795463981
1.0000000000	0.8591794444	0.2812299856	0.2797575602	0.8637022187	0.7530956229	0.7299872150	0.2088195269
1.0000000000	0.1330451181	0.4440408102	0.4174108312	0.2888971593	0.7683497928	0.5802412836	0.6136357200
1.0000000000	0.1954518182	0.9102161499	0.9300730468	0.0331082270	0.2764312928	0.5777596300	0.3882479316
1.0000000000	0.0235886655	0.2220562822	0.2404342508	0.5334754756	0.5683447837	0.6059615258	0.5905194804
1.0000000000	0.0453599084	0.7441519054	0.9844941236	0.4891945028	0.2507684608	0.0189812095	0.7326239243
1.0000000000	0.3406222877	0.9686890061	0.5514837615	0.6836951526	0.9965570788	0.7239665033	0.7064018538
1.0000000000	0.0568026844	0.8603255416	0.6386408196	0.2972361401	0.1168382848	0.4041338672	0.4112528972
1.0000000000	0.0914885395	0.5433471161	0.0736305001	0.0964939748	0.2791020838	0.8996510685	0.1240919433
1.0000000000	0.5495075537	0.8367966516	0.8052173255	0.5456391587	0.1668023989	0.9120555557	0.0597510012
1.0000000000	0.1283669004	0.4084027910	0.9865182312	0.7513044435	0.4162727371	0.2652176900	0.1347927088
1.0000000000	0.6956496241	0.0706202330	0.8954162891	0.5560698025	0.0177265543	0.8246437449	0.8243940750
