0.386470036	0.138015590	0.858186126
0.763510514	0.767389600	0.408502275
0.759134959	0.525828985	0.226278930
0.369762228	0.383187028	0.072776592
0.990874382	0.208940413	0.341595619
0.275089263	0.157916571	0.079120472
0.718757181	0.008057647	0.004543446
0.119460587	0.913681348	0.657869821
0.344083731	0.296806670	0.832679130
0.822882770	0.002623910	0.115842873
0.073121494	0.387730390	0.160085568
0.601070255	0.040922650	0.744498299
0.359722974	0.772815167	0.504895032
0.929987551	0.282143544	0.042018262
0.425586371	0.145780992	0.845405803
0.673657100	0.429158665	0.673017631
0.510055936	0.887138969	0.269369047
0.300544849	0.106849996	0.791902306
0.914447056	0.263832234	0.962963811
0.280620008	0.935792784	0.602488359
0.852265289	0.596870518	0.290059423
0.876537764	0.781291817	0.269558534
0.001462706	0.811290085	0.239249034
0.453314909	0.632950774	0.774625758
0.216298913	0.187945693	0.633074850
0.116891733	0.728560563	0.130342348
0.652223198	0.659124802	0.058772973
0.739878780	0.703365034	0.082435661
0.787462516	0.123889566	0.186916844
0.440038300	0.034109631	0.519606583
