1.00000000	0.61175820	0.17857617	0.09702629
1.00000000	0.29517619	0.76821846	0.98944529
1.00000000	0.78220665	0.56492922	0.25041732
1.00000000	0.84734942	0.40098429	0.58838483
1.00000000	0.34286657	0.81944856	0.48653771
1.00000000	0.48040243	0.74046790	0.59065531
1.00000000	0.16580682	0.14858853	0.29554571
1.00000000	0.98198241	0.59912579	0.39551607
1.00000000	0.59772207	0.37828221	0.47393766
1.00000000	0.33180554	0.43064781	0.52745297
1.00000000	0.11811827	0.20243638	0.30531114
1.00000000	0.00171845	0.78362737	0.24684607
1.00000000	0.60047666	0.84251868	0.91481055
1.00000000	0.65192186	0.74334979	0.49613318
1.00000000	0.02644947	0.04014492	0.53853376
1.00000000	0.82920682	0.26328878	0.76637623
1.00000000	0.69014070	0.77738046	0.78208022
1.00000000	0.93238319	0.64197488	0.70492478
1.00000000	0.21619232	0.75021017	0.11403090
1.00000000	0.69222319	0.19543240	0.68283566
1.00000000	0.72229962	0.95042788	0.91838510
1.00000000	0.05440935	0.38048731	0.19175060
1.00000000	0.94232452	0.74358871	0.73786692
1.00000000	0.04130658	0.13839869	0.49633248
1.00000000	0.43290259	0.99248705	0.79906410
1.00000000	0.77607222	0.60909562	0.06232451
1.00000000	0.55412814	0.05987046	0.79365984
1.00000000	0.40075697	0.19868992	0.42321121
1.00000000	0.46656455	0.78736827	0.18609088
1.00000000	0.20889053	0.58782379	0.46336332
